time,open,high,low,close,tick_volume,spread,real_volume
2008-05-16 12:46:00,72805,72805,72805,72805,1,1,3
2008-05-16 12:47:00,72810,72810,72800,72810,3,1,9
2008-05-16 12:48:00,72800,72800,72800,72800,1,1,3
2008-05-16 12:49:00,72820,72880,72820,72880,10,1,30
2008-05-16 12:50:00,72890,72960,72890,72960,16,1,48
2008-05-16 12:51:00,72955,72970,72955,72970,6,1,18
2008-05-16 12:52:00,72980,73010,72930,72950,17,1,51
2008-05-16 12:53:00,72930,72940,72900,72920,7,1,21
2008-05-16 12:54:00,72900,72900,72880,72890,4,1,12
2008-05-16 12:55:00,72900,72910,72900,72910,2,1,6
2008-05-16 12:56:00,72920,72920,72865,72865,5,1,15
2008-05-16 12:57:00,72900,72915,72900,72915,3,1,9
2008-05-16 12:58:00,72900,72905,72860,72860,6,1,18
2008-05-16 12:59:00,72900,72910,72900,72910,2,1,6
2008-05-16 13:00:00,72880,72880,72880,72880,1,1,3
2008-05-16 13:01:00,72880,72900,72880,72900,3,1,9
2008-05-16 13:02:00,72905,72925,72905,72910,7,1,21
2008-05-16 13:03:00,72920,72945,72900,72935,6,1,18
2008-05-16 13:04:00,72930,72930,72915,72915,2,1,6
2008-05-16 13:05:00,72915,72915,72900,72900,1,1,3
2008-05-16 13:06:00,72905,72905,72900,72900,2,1,6
2008-05-16 13:07:00,72930,72930,72900,72910,7,1,21
2008-05-16 13:08:00,72920,72920,72920,72920,1,1,3
2008-05-16 13:09:00,72920,72930,72920,72930,1,1,3
2008-05-16 13:10:00,72930,72985,72930,72985,7,1,21
2008-05-16 13:11:00,72985,73000,72985,72990,7,1,21
2008-05-16 13:12:00,72990,72990,72970,72975,5,1,15
2008-05-16 13:13:00,72980,73000,72980,73000,5,1,15
2008-05-16 13:14:00,73000,73025,73000,73025,4,1,12
2008-05-16 13:15:00,73025,73030,73010,73020,6,1,18
2008-05-16 13:16:00,73020,73070,73015,73050,16,1,48
2008-05-16 13:17:00,73050,73050,73030,73030,2,1,6
2008-05-16 13:18:00,73040,73075,73040,73070,9,1,27
2008-05-16 13:19:00,73075,73170,73060,73150,20,1,60
2008-05-16 13:20:00,73150,73170,73140,73145,16,1,48
2008-05-16 13:21:00,73140,73140,73105,73135,7,1,21
2008-05-16 13:22:00,73130,73150,73130,73130,5,1,15
2008-05-16 13:23:00,73130,73150,73130,73145,4,1,12
2008-05-16 13:24:00,73140,73145,73120,73120,4,1,12
2008-05-16 13:25:00,73120,73130,73055,73080,10,1,30
2008-05-16 13:26:00,73060,73100,73060,73100,3,1,9
2008-05-16 13:27:00,73100,73100,73070,73070,2,1,6
2008-05-16 13:28:00,73055,73070,73050,73070,5,1,15
2008-05-16 13:29:00,73065,73100,73065,73100,4,1,12
2008-05-16 13:30:00,73100,73110,73075,73075,5,1,15
2008-05-16 13:31:00,73075,73075,73050,73050,4,1,12
2008-05-16 13:32:00,73040,73050,73040,73050,2,1,6
2008-05-16 13:33:00,73050,73080,73050,73080,4,1,12
2008-05-16 13:34:00,73080,73080,73050,73050,1,1,3
2008-05-16 13:35:00,73020,73050,73020,73050,4,1,12
2008-05-16 13:36:00,73050,73050,73025,73025,4,1,12
2008-05-16 13:37:00,73025,73025,73020,73020,1,1,3
2008-05-16 13:39:00,73040,73050,73040,73050,2,1,6
2008-05-16 13:40:00,73065,73065,73050,73050,3,1,9
2008-05-16 13:41:00,73050,73070,73030,73070,5,1,15
2008-05-16 13:42:00,73070,73110,73070,73100,7,1,21
2008-05-16 13:43:00,73085,73100,73075,73080,6,1,18
2008-05-16 13:44:00,73080,73120,73080,73100,6,1,18
2008-05-16 13:45:00,73115,73120,73090,73100,7,1,21
2008-05-16 13:46:00,73100,73105,73080,73090,5,1,15
2008-05-16 13:47:00,73075,73075,73025,73040,12,1,36
2008-05-16 13:48:00,73050,73050,73050,73050,1,1,3
2008-05-16 13:49:00,73055,73055,73055,73055,1,1,3
2008-05-16 13:51:00,73065,73095,73065,73070,4,1,12
2008-05-16 13:52:00,73070,73080,73070,73080,1,1,3
2008-05-16 13:53:00,73095,73120,73095,73120,4,1,12
2008-05-16 13:54:00,73120,73130,73090,73090,7,1,21
2008-05-16 13:55:00,73090,73100,73070,73085,4,1,12
2008-05-16 13:56:00,73085,73120,73085,73120,2,1,6
2008-05-16 13:57:00,73115,73115,73115,73115,1,1,3
2008-05-16 13:58:00,73115,73115,73090,73100,3,1,9
2008-05-16 13:59:00,73110,73110,73110,73110,1,1,3
2008-05-16 14:00:00,73090,73110,73080,73110,3,1,9
2008-05-16 14:01:00,73100,73105,73100,73105,2,1,6
2008-05-16 14:02:00,73100,73110,73100,73110,2,1,6
2008-05-16 14:03:00,73110,73145,73110,73145,3,1,9
2008-05-16 14:04:00,73145,73150,73145,73150,1,1,3
2008-05-16 14:05:00,73150,73160,73130,73130,3,1,9
2008-05-16 14:06:00,73130,73160,73125,73160,8,1,24
2008-05-16 14:07:00,73170,73205,73165,73200,12,1,36
2008-05-16 14:08:00,73190,73210,73190,73190,11,1,33
2008-05-16 14:09:00,73180,73230,73180,73210,8,1,24
2008-05-16 14:10:00,73230,73250,73220,73220,9,1,27
2008-05-16 14:11:00,73230,73250,73185,73185,9,1,27
2008-05-16 14:12:00,73185,73200,73160,73160,8,1,24
2008-05-16 14:13:00,73170,73170,73160,73160,4,1,12
2008-05-16 14:14:00,73155,73160,73155,73160,2,1,6
2008-05-16 14:15:00,73160,73170,73155,73155,3,1,9
2008-05-16 14:16:00,73155,73160,73135,73160,7,1,21
2008-05-16 14:17:00,73140,73170,73140,73160,5,1,15
2008-05-16 14:18:00,73150,73160,73150,73160,4,1,12
2008-05-16 14:19:00,73170,73170,73150,73150,3,1,9
2008-05-16 14:20:00,73150,73150,73090,73100,7,1,21
2008-05-16 14:21:00,73100,73100,73080,73100,3,1,9
2008-05-16 14:22:00,73100,73100,73080,73100,8,1,24
2008-05-16 14:23:00,73100,73110,73100,73110,1,1,3
2008-05-16 14:24:00,73115,73130,73100,73130,6,1,18
2008-05-16 14:25:00,73110,73120,73110,73120,2,1,6
2008-05-16 14:26:00,73120,73130,73120,73130,1,1,3
2008-05-16 14:27:00,73120,73120,73090,73090,6,1,18
2008-05-16 14:28:00,73090,73090,73050,73085,6,1,18
2008-05-16 14:29:00,73080,73080,73080,73080,1,1,3
2008-05-16 14:30:00,73080,73080,72900,73000,12,1,36
2008-05-16 14:31:00,73000,73020,73000,73020,9,1,27
2008-05-16 14:32:00,73010,73030,73010,73020,7,1,21
2008-05-16 14:33:00,73020,73020,73000,73000,4,1,12
2008-05-16 14:34:00,73020,73030,73020,73030,2,1,6
2008-05-16 14:35:00,73000,73000,72970,72970,5,1,15
2008-05-16 14:36:00,72970,73000,72970,73000,11,1,33
2008-05-16 14:37:00,72980,72980,72920,72955,11,1,33
2008-05-16 14:38:00,72960,72960,72930,72940,3,1,9
2008-05-16 14:39:00,72940,72945,72920,72940,4,1,12
2008-05-16 14:40:00,72930,72950,72920,72950,12,1,36
2008-05-16 14:41:00,72930,72950,72905,72920,13,1,39
2008-05-16 14:42:00,72920,72960,72905,72950,8,1,24
2008-05-16 14:43:00,72950,72950,72940,72940,1,1,3
2008-05-16 14:44:00,72925,72925,72905,72905,3,1,9
2008-05-16 14:45:00,72910,72930,72905,72920,6,1,18
2008-05-16 14:46:00,72930,72930,72900,72910,7,1,21
2008-05-16 14:47:00,72900,72950,72900,72940,9,1,27
2008-05-16 14:48:00,72940,72960,72920,72930,5,1,15
2008-05-16 14:49:00,72955,72960,72950,72950,7,1,21
2008-05-16 14:50:00,72950,72960,72950,72950,2,1,6
2008-05-16 14:51:00,72965,72970,72965,72970,2,1,6
2008-05-16 14:52:00,72970,72980,72960,72960,9,1,27
2008-05-16 14:53:00,72970,72980,72970,72980,2,1,6
2008-05-16 14:54:00,72980,72980,72950,72950,9,1,27
2008-05-16 14:55:00,72960,73040,72960,73025,12,1,36
2008-05-16 14:56:00,73005,73030,73000,73000,14,1,42
2008-05-16 14:57:00,73010,73030,72990,73030,6,1,18
2008-05-16 14:58:00,73030,73035,73025,73035,3,1,9
2008-05-16 14:59:00,73040,73050,73010,73010,7,1,21
2008-05-16 15:00:00,73010,73020,72980,72980,10,1,30
2008-05-16 15:01:00,72980,72990,72980,72980,2,1,6
2008-05-16 15:02:00,72970,73030,72960,73000,10,1,30
2008-05-16 15:03:00,73000,73000,72980,72980,2,1,6
2008-05-16 15:04:00,72980,73010,72980,72980,4,1,12
2008-05-16 15:05:00,73000,73035,72990,72990,10,1,30
2008-05-16 15:06:00,73005,73040,73005,73040,6,1,18
2008-05-16 15:07:00,73040,73070,73030,73070,5,1,15
2008-05-16 15:08:00,73060,73100,73050,73080,13,1,39
2008-05-16 15:09:00,73100,73140,73085,73120,10,1,30
2008-05-16 15:10:00,73100,73140,73090,73130,15,1,45
